지점번호,지점명,일시,평균습도(%rh),최저습도(%rh)
108,서울,1954,81,35
108,서울,1955,77.3,25
108,서울,1956,79.7,29
108,서울,1957,80.3,32
108,서울,1958,74,21
108,서울,1959,77.3,26
108,서울,1960,76.7,27
108,서울,1961,81.3,30
108,서울,1962,75,28
108,서울,1963,79.3,31
108,서울,1964,77.3,34
108,서울,1965,77.7,17
108,서울,1966,81,34
108,서울,1967,79.3,28
108,서울,1968,75.7,27
108,서울,1969,77.7,25
108,서울,1970,80.3,24
108,서울,1971,83.3,38
108,서울,1972,77.7,30
108,서울,1973,83.3,28
108,서울,1974,78.3,33
108,서울,1975,77,30
108,서울,1976,74.3,26
108,서울,1977,71.7,27
108,서울,1978,78,23
108,서울,1979,80.7,33
108,서울,1980,77.3,27
108,서울,1981,75,31
108,서울,1982,73.7,32
108,서울,1983,74.3,24
108,서울,1984,77,21
108,서울,1985,77.3,30
108,서울,1986,77.3,22
108,서울,1987,78,24
108,서울,1988,73.3,23
108,서울,1989,72.7,28
108,서울,1990,81,34
108,서울,1991,75,25
108,서울,1992,74.7,27
108,서울,1993,78.3,30
108,서울,1994,74.3,25
108,서울,1995,79,21
108,서울,1996,74.7,25
108,서울,1997,72,25
108,서울,1998,73.7,28
108,서울,1999,71.7,28
108,서울,2000,72.7,21
108,서울,2001,72,25
108,서울,2002,71.7,21
108,서울,2003,73.7,16
108,서울,2004,72.3,17
108,서울,2005,73.3,26
108,서울,2006,73,21
108,서울,2007,70.3,13
108,서울,2008,71,23
108,서울,2009,70.3,18
108,서울,2010,71.3,12
108,서울,2011,73.3,19
108,서울,2012,65.3,21
108,서울,2013,69.3,15
108,서울,2014,74.7,27
108,서울,2015,67,13
108,서울,2016,66.7,21
108,서울,2017,68.3,14
108,서울,2018,65.3,19
